date,venue,race_num,class,surface,distance,horse_num,horse_name,jockey,jockey_foreign,trainer,trainer_loc,popularity,finish,result,signal,note
2026-05-09,東京,1R,3歳未勝利,ダ,1300,1,デアトゥバトル,松若風,N,水野,美,12,14,着外,初B+*,関東のみ（JRDBは漏れ・競馬ブックが正）
2026-05-09,東京,1R,3歳未勝利,ダ,1300,4,グラスリッキー,松岡正,N,杉浦,美,10,15,着外,初B+*,関東のみ
2026-05-09,東京,1R,3歳未勝利,ダ,1300,10,アイアムアッパレ,荻野極,N,奥平雅,美,5,11,着外,初B+*,関東のみ
2026-05-09,東京,1R,3歳未勝利,ダ,1300,15,ロジシーザ,岩田康,N,古賀慎,美,14,6,着外,初B+*,関東のみ・惜しい
2026-05-09,東京,4R,3歳未勝利,芝,2400,3,ボンボンベイビー,ディー,Y,矢作,栗,7,2,馬券圏内,初B+*,矢作×外人×西高東低
2026-05-09,東京,4R,3歳未勝利,芝,2400,11,オーケーグリット,木幡巧,N,相沢,美,10,5,着外,初B+*,関東のみ
2026-05-09,新潟,5R,3歳未勝利(若手騎手),芝,1200,7,ハルヒメ,長浜鴻,N,矢嶋大,美,8,2,馬券圏内,初B+*,若手騎手戦・関東若手
2026-05-09,新潟,5R,3歳未勝利(若手騎手),芝,1200,14,ベルフィーノ,河原田,N,宮本博,栗,9,13,着外,初B+*,若手騎手戦・栗東遠征も着外
2026-05-09,新潟,7R,4歳上1勝,ダ,1200,3,サンライズジュピタ,小崎綾,N,石坂公,栗,7,2,馬券圏内,初B+*,ベテラン厩舎・栗東遠征
2026-05-10,京都,1R,3歳未勝利,?,?,11,グロリアス,田山旺,N,新谷功,栗,2,2,馬券圏内,再B+*,関西人気
2026-05-10,京都,4R,3歳未勝利,芝,1600,13,キボウホー,角田和,N,松永幹,栗,12,2,馬券圏内,初B+遮眼革,松永幹(ベテラン)・短評「遮眼革を着用」・大穴単117.6倍
2026-05-10,東京,3R,3歳未勝利,芝,1600,5,アイアンクラッド,三浦皇,N,上原博,美,10,1,馬券圏内,初B+*,上原博(父)・関東のみで1着
2026-05-10,東京,8R,?,?,?,2,タリエシン,佐々木,N,秋本大,美,11,着外,着外,初B+*,古馬戦・関東
2026-05-10,新潟,2R,3歳未勝利,ダ,1200,9,ラインメテオラ,富田暁,N,長谷川,栗,10,2,馬券圏内,初B+*,栗東遠征・短評「B着怖さ有りが」
2026-05-10,新潟,12R,4歳上,?,?,5,グレースルージュ,ゴンサ,Y,吉村圭,栗,10,着外,着外,初B+*,栗東遠征・外人騎手も着外
2026-05-10,東京,7R,4歳上1勝,ダ,1300,2,ボナーテソーロ,石橋脩,N,牧,美,12,2,馬券圏内,初B+*,距離短縮・地方歴(地)・関東のみ
